Membership No  Date Joined  Active  
    14585      2017-10-4    no    
    20473      2019-3-18    yes   
    30843      2015-3-3     no    
    62685      2019-8-17    yes   
    30121      2015-7-22    no    
    33013      2020-12-23   no    
    78272      2016-8-17    yes   
    70007      2020-1-3     yes   
    79032      2016-1-22    no    
    47308      2015-2-15    yes   
    69706      2020-6-25    no    
    64756      2017-8-6     yes   
    87657      2015-4-11    yes   
    24928      2017-9-6     yes   
    66123      2016-1-10    no    
    43085      2017-7-20    no    
    28340      2015-11-11   yes   
    43096      2015-3-19    yes   
    15329      2018-12-23   yes   
    24284      2015-10-7    no    
