Membership No  Date Joined  Active  
    67137      2020-5-13    no    
    53461      2016-9-23    yes   
    20668      2020-4-9     no    
    75241      2017-12-9    no    
    92621      2016-3-25    no    
    56895      2017-12-21   no    
    94023      2018-9-6     yes   
    71643      2015-12-7    no    
    39431      2020-4-23    no    
    60271      2016-3-6     yes   
    85551      2015-11-6    yes   
    16003      2015-7-23    yes   
    59621      2019-5-18    no    
    61874      2016-1-18    no    
    15381      2017-12-11   no    
    11471      2020-11-12   no    
    60554      2015-10-15   no    
    10720      2020-4-25    yes   
    75190      2017-3-6     no    
    78547      2019-12-1    no    
