Membership No  Date Joined  Active  
    67911      2018-2-10    yes   
    37538      2018-4-1     no    
    82731      2019-5-15    yes   
    96959      2017-9-11    no    
    63381      2019-1-13    yes   
    13111      2016-2-24    yes   
    59255      2019-7-12    no    
    34635      2019-11-7    yes   
    13492      2017-9-22    no    
    94107      2015-1-21    no    
    84825      2016-5-9     yes   
    66053      2018-9-5     yes   
    44902      2018-10-25   yes   
    59314      2018-1-6     no    
    34898      2020-11-15   yes   
    49415      2018-4-24    no    
    89178      2020-2-7     no    
    20957      2015-2-20    no    
    21215      2016-3-23    yes   
    84267      2020-9-19    yes   
