`	gravegraveaccentbacktickbackquote
~	tilde
	exclamationmarkexclamationpointbang
@	atatsignatsymbol
#	poundhashnumber
$	dollar(s)
%	percentpercentsignpartsper100
^	carathatcircumflexexponentsymbol
&	andampersand
*	asterisk
(	openparenthesisleftparenthesis
)	closeparenthesisrightparenthesis
()	parenthesesroundbrackets
–	hyphenminusminussigndash
_	underscore
=	equalsequalsign
+	additionplussign
[]	bracketssquarebrackets
[	openbracket
]	closebracket
{}	bracescurlybrackets
{	openbrace
}	closebrace
\	backslashbackwardslash
|	verticalpipepipe
;	semicolon
:	colon
‘	apostropheprimesinglequote
“	quotationmarkdoublequotes
	comma
	perioddecimaldot
/	slashforwardslash
<>	anglebrackets
<	lessthan
>	greaterthan
	questionmark
